DATE,TOTAL_DAILY_DIFFICULTY,DAILY_DIFFICULTY,STATUS
2022-06-05T00:00:00Z,5.09006647122616e+22,1.48322109516975e+16,Before
2022-06-06T00:00:00Z,5.09878072199462e+22,1.47302548599553e+16,Before
2022-06-07T00:00:00Z,5.10739516422268e+22,1.47462546732882e+16,Before
2022-06-08T00:00:00Z,5.11624473583811e+22,1.51011775602098e+16,Before
2022-06-09T00:00:00Z,5.12509417085598e+22,1.49436450446388e+16,Before
2022-06-10T00:00:00Z,5.13374125638092e+22,1.47872358664953e+16,Before
2022-06-11T00:00:00Z,5.14240745406413e+22,1.47867134896291e+16,Before
2022-06-12T00:00:00Z,5.15113759397222e+22,1.49292255565045e+16,Before
2022-06-13T00:00:00Z,5.15976658621657e+22,1.46086797994148e+16,Before
2022-06-14T00:00:00Z,5.16815545300694e+22,1.42658876788287e+16,Before
2022-06-15T00:00:00Z,5.17618117234553e+22,1.36618062543625e+16,Before
2022-06-16T00:00:00Z,5.18407258774103e+22,1.37550127394943e+16,Before
2022-06-17T00:00:00Z,5.19212785325065e+22,1.38637157097546e+16,Before
2022-06-18T00:00:00Z,5.20026416367144e+22,1.39581294530616e+16,Before
2022-06-19T00:00:00Z,5.20826350904306e+22,1.36010613639482e+16,Before
2022-06-20T00:00:00Z,5.21599011552677e+22,1.33061303972283e+16,Before
2022-06-21T00:00:00Z,5.223808625957e+22,1.44148647073388e+16,Before
2022-06-22T00:00:00Z,5.2316608775561e+22,1.45008946000664e+16,Before
2022-06-23T00:00:00Z,5.23939248284147e+22,1.43689132839182e+16,Before
2022-06-24T00:00:00Z,5.24700407265605e+22,1.42668196520019e+16,Before
2022-06-25T00:00:00Z,5.25479504492303e+22,1.46609476666968e+16,Before
2022-06-26T00:00:00Z,5.26244209741108e+22,1.41013884506979e+16,Before
2022-06-27T00:00:00Z,5.27003891161261e+22,1.44291658426262e+16,Before
2022-06-28T00:00:00Z,5.27776424070341e+22,1.42197130404638e+16,Before
2022-06-29T00:00:00Z,5.28528825060646e+22,1.41002238999273e+16,Before
2022-06-30T00:00:00Z,5.29294589916318e+22,1.32385158314451e+16,Before
2022-07-01T00:00:00Z,5.30026744923029e+22,1.15838081996207e+16,Before
2022-07-02T00:00:00Z,5.30771848179576e+22,1.15475076123982e+16,Before
2022-07-03T00:00:00Z,5.31527293166525e+22,1.16700505803135e+16,Before
2022-07-04T00:00:00Z,5.3228254477577e+22,1.16492413257855e+16,Before
2022-07-05T00:00:00Z,5.33038109734617e+22,1.17191468433255e+16,Before
2022-07-06T00:00:00Z,5.33792921221793e+22,1.15540397190035e+16,Before
2022-07-07T00:00:00Z,5.34541942715614e+22,1.15749910518724e+16,Before
2022-07-08T00:00:00Z,5.35293915813332e+22,1.1740901891552e+16,Before
2022-07-09T00:00:00Z,5.36055104899143e+22,1.1674336318498e+16,Before
2022-07-10T00:00:00Z,5.36813611375505e+22,1.17881175019716e+16,Before
2022-07-11T00:00:00Z,5.37568431839692e+22,1.14667241155727e+16,Before
2022-07-12T00:00:00Z,5.38319654627328e+22,1.1758961246864e+16,Before
2022-07-13T00:00:00Z,5.39073173029623e+22,1.13987799854936e+16,Before
2022-07-14T00:00:00Z,5.3980415949335e+22,1.14115412835634e+16,Before
2022-07-15T00:00:00Z,5.40555199497657e+22,1.166767874552e+16,Before
2022-07-16T00:00:00Z,5.41310576872769e+22,1.17782254437521e+16,Before
2022-07-17T00:00:00Z,5.42070308477658e+22,1.16726413378951e+16,Before
2022-07-18T00:00:00Z,5.42817936331105e+22,1.17155461262075e+16,Before
2022-07-19T00:00:00Z,5.43582027789823e+22,1.19120460485295e+16,Before
2022-07-20T00:00:00Z,5.44351162202356e+22,1.18165090605929e+16,Before
2022-07-21T00:00:00Z,5.45107963118742e+22,1.16783705702998e+16,Before
2022-07-22T00:00:00Z,5.45863985134709e+22,1.17033183035157e+16,Before
2022-07-23T00:00:00Z,5.46636156037785e+22,1.21584900062215e+16,Before
2022-07-24T00:00:00Z,5.47413550895952e+22,1.20414701503137e+16,Before
2022-07-25T00:00:00Z,5.48176483790393e+22,1.17847940360862e+16,Before
2022-07-26T00:00:00Z,5.48930977117818e+22,1.18325959300435e+16,Before
2022-07-27T00:00:00Z,5.49686378108897e+22,1.1808815024963e+16,Before
2022-07-28T00:00:00Z,5.5045223497185e+22,1.19999274038128e+16,Before
2022-07-29T00:00:00Z,5.51216845428425e+22,1.17301380421864e+16,Before
2022-07-30T00:00:00Z,5.51974943270739e+22,1.1870468182402e+16,Before
2022-07-31T00:00:00Z,5.52733815204554e+22,1.18080938722756e+16,Before
2022-08-01T00:00:00Z,5.5348564212639e+22,1.17703393926022e+16,Before
2022-08-02T00:00:00Z,5.54259523545493e+22,1.21159421509507e+16,Before
2022-08-03T00:00:00Z,5.55029159592304e+22,1.18423349410551e+16,Before
2022-08-04T00:00:00Z,5.55784008599468e+22,1.1875048982779e+16,Before
2022-08-05T00:00:00Z,5.56550265599006e+22,1.20037616991874e+16,Before
2022-08-06T00:00:00Z,5.57327760702529e+22,1.19480863917178e+16,Before
2022-08-07T00:00:00Z,5.58087660099068e+22,1.18634489018264e+16,Before
2022-08-08T00:00:00Z,5.58846957301289e+22,1.16567096306363e+16,Before
2022-08-09T00:00:00Z,5.59598036757625e+22,1.18860878096801e+16,Before
2022-08-10T00:00:00Z,5.60356210792379e+22,1.19428074826712e+16,Before
2022-08-11T00:00:00Z,5.61118732384704e+22,1.20734729459477e+16,Before
2022-08-12T00:00:00Z,5.61878575791958e+22,1.1896137577362e+16,Before
2022-08-13T00:00:00Z,5.62641655911198e+22,1.21947253704838e+16,Before
2022-08-14T00:00:00Z,5.63417473623762e+22,1.23064382394023e+16,Before
2022-08-15T00:00:00Z,5.64187215930175e+22,1.20172090711416e+16,Before
2022-08-16T00:00:00Z,5.64950983925258e+22,1.22244315957721e+16,Before
2022-08-17T00:00:00Z,5.65728050540388e+22,1.22558803974271e+16,Before
2022-08-18T00:00:00Z,5.66490786145992e+22,1.18648684741014e+16,Before
2022-08-19T00:00:00Z,5.67235675114121e+22,1.17457710820181e+16,Before
2022-08-20T00:00:00Z,5.67968960375694e+22,1.15920012954803e+16,Before
2022-08-21T00:00:00Z,5.68713314216711e+22,1.18434831718653e+16,Before
2022-08-22T00:00:00Z,5.69462007697515e+22,1.17977605426942e+16,Before
2022-08-23T00:00:00Z,5.70205370594719e+22,1.19364241049855e+16,Before
2022-08-24T00:00:00Z,5.70963315657382e+22,1.2111590839188e+16,Before
2022-08-25T00:00:00Z,5.71719131889705e+22,1.1987974009846e+16,Before
2022-08-26T00:00:00Z,5.72465065276031e+22,1.21017392339754e+16,Before
2022-08-27T00:00:00Z,5.73226337385033e+22,1.23127923893234e+16,Before
2022-08-28T00:00:00Z,5.73992247851038e+22,1.21843018106226e+16,Before
2022-08-29T00:00:00Z,5.74768035683759e+22,1.25308566902853e+16,Before
2022-08-30T00:00:00Z,5.75554228656504e+22,1.24578738122791e+16,Before
2022-08-31T00:00:00Z,5.76321175732659e+22,1.22823963124939e+16,Before
2022-09-01T00:00:00Z,5.77091178306833e+22,1.22715906206905e+16,Before
2022-09-02T00:00:00Z,5.77870680212356e+22,1.26163002409697e+16,Before
2022-09-03T00:00:00Z,5.78651615797829e+22,1.23624100910551e+16,Before
2022-09-04T00:00:00Z,5.79430572088693e+22,1.25525735754974e+16,Before
2022-09-05T00:00:00Z,5.80199149912687e+22,1.2126216592858e+16,Before
2022-09-06T00:00:00Z,5.80943451391263e+22,1.20607533866951e+16,Before
